Код,Быстрый выбор,Наименование,Заб.,Акт.,Вал.,Кол.,Подр.,НУ
01,01,Основные средства,Нет ,А,Нет ,Нет ,Нет ,Да 
01.01,0101,Основные средства в организации,Нет ,А,Нет ,Нет ,Нет ,Да 
01.08,0108,"Объекты недвижимости, права собственности на которые не зарегистрированы",Нет ,А,Нет ,Нет ,Нет ,Да 
01.09,0109,Выбытие основных средств,Нет ,А,Нет ,Нет ,Нет ,Да 
02,02,Амортизация основных средств,Нет ,П,Нет ,Нет ,Нет ,Да 
02.01,0201,"Амортизация основных средств, учитываемых на счете 01",Нет ,П,Нет ,Нет ,Нет ,Да 
02.02,0202,"Амортизация основных средств, учитываемых на счете 03",Нет ,П,Нет ,Нет ,Нет ,Да 
03,03,Доходные вложения в материальные ценности,Нет ,А,Нет ,Нет ,Нет ,Да 
03.01,0301,Материальные ценности в организации,Нет ,А,Нет ,Нет ,Нет ,Да 
03.02,0302,Материальные ценности предоставленные во временное владение и пользование,Нет ,А,Нет ,Нет ,Нет ,Да 
03.03,0303,Материальные ценности предоставленные во временное пользование,Нет ,А,Нет ,Нет ,Нет ,Да 
03.04,0304,Прочие доходные вложения,Нет ,А,Нет ,Нет ,Нет ,Да 
03.09,0309,Выбытие материальных ценностей,Нет ,А,Нет ,Нет ,Нет ,Да 
04,04,Нематериальные активы,Нет ,А,Нет ,Нет ,Нет ,Да 
04.01,0401,Нематериальные активы организации,Нет ,А,Нет ,Нет ,Нет ,Да 
04.02,0402,"Расходы на научно-исследовательские, опытно-конструкторские и технологические работы",Нет ,А,Нет ,Нет ,Нет ,Да 
05,05,Амортизация нематериальных активов,Нет ,П,Нет ,Нет ,Нет ,Да 
07,07,Оборудование к установке,Нет ,А,Нет ,Да ,Нет ,Да 
08,08,Вложения во внеоборотные активы,Нет ,А,Нет ,Нет ,Нет ,Да 
08.01,0801,Приобретение земельных участков,Нет ,А,Нет ,Нет ,Нет ,Да 
08.02,0802,Приобретение объектов природопользования,Нет ,А,Нет ,Нет ,Нет ,Да 
08.03,0803,Строительство объектов основных средств,Нет ,А,Нет ,Нет ,Нет ,Да 
08.04,0804,Приобретение объектов основных средств,Нет ,А,Нет ,Да ,Нет ,Да 
08.05,0805,Приобретение нематериальных активов,Нет ,А,Нет ,Нет ,Нет ,Да 
08.06,0806,Перевод молодняка животных в основное стадо,Нет ,А,Нет ,Да ,Нет ,Да 
08.07,0807,Приобретение взрослых животных,Нет ,А,Нет ,Да ,Нет ,Да 
08.08,0808,"Выполнение научно-исследовательских, опытно-конструкторских и технологических работ",Нет ,А,Нет ,Нет ,Нет ,Да 
08.11,0811,Нематериальные поисковые активы,Нет ,А,Нет ,Нет ,Нет ,Да 
08.12,0812,Материальные поисковые активы,Нет ,А,Нет ,Нет ,Нет ,Да 
09,09,Отложенные налоговые активы,Нет ,А,Нет ,Нет ,Нет ,Нет 
10,10,Материалы,Нет ,А,Нет ,Да ,Да ,Да 
10.01,1001,Сырье и материалы,Нет ,А,Нет ,Да ,Нет ,Да 
10.02,1002,"Покупные полуфабрикаты и комплектующие изделия, конструкции и детали",Нет ,А,Нет ,Да ,Нет ,Да 
10.03,1003,Топливо,Нет ,А,Нет ,Да ,Нет ,Да 
10.04,1004,Тара и тарные материалы,Нет ,А,Нет ,Да ,Нет ,Да 
10.05,1005,Запасные части,Нет ,А,Нет ,Да ,Нет ,Да 
