"ID";"NAME";"ACTUALITYSTATUS"
"1";"dict_visacategory.1";"Actual"
"135432";"dict_visacategory.135432";"Actual"
"135433";"dict_visacategory.135433";"Actual"
"2";"dict_visacategory.2";"Actual"
"3";"dict_visacategory.3";"Actual"
"135436";"dict_visacategory.135436";"Actual"
"135437";"dict_visacategory.135437";"Actual"
"5";"dict_visacategory.5";"Actual"
"6";"dict_visacategory.6";"Actual"
"7";"dict_visacategory.7";"Actual"
"8";"dict_visacategory.8";"Actual"
"91";"dict_visacategory.91";"Actual"
"92";"dict_visacategory.92";"Actual"
"10";"dict_visacategory.10";"Actual"
"135438";"dict_visacategory.135438";"Actual"
