"CODE";"NAME";"ACTUALITYSTATUS"
"139344";"dict_visitpurpose.139344";"Actual"
"139345";"dict_visitpurpose.139345";"Actual"
"139346";"dict_visitpurpose.139346";"Actual"
"139347";"dict_visitpurpose.139347";"Actual"
"139348";"dict_visitpurpose.139348";"Actual"
"139349";"dict_visitpurpose.139349";"Actual"
"139350";"dict_visitpurpose.139350";"Actual"
"139351";"dict_visitpurpose.139351";"Actual"
"139352";"dict_visitpurpose.139352";"Actual"
"139353";"dict_visitpurpose.139353";"Actual"
"139354";"dict_visitpurpose.139354";"Actual"
