"10000";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЧЕЧЕНСКОЙ РЕСПУБЛИКЕ В СТАРОПРОМЫСЛОВСКОМ Р-НЕ Г. ГРОЗНОГО";"200-006"
"10001";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЧЕЧЕНСКОЙ РЕСПУБЛИКЕ В Г. АРГУН";"200-009"
"10002";"ОТДЕЛЕНИЕ УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В Г. БОГОТОЛЕ И БОГОТОЛЬСКОМ Р-НЕ";"240-021"
"10003";"ОТДЕЛ УФМС РОССИИ ПО ЧЕЧЕНСКОЙ РЕСПУБЛИКЕ В КУРЧАЛОЕВСКОМ Р-НЕ";"202-020"
"10004";"ТП ВОСТОЧНЫЙ ОУФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В Г. БИЙСКЕ";"220-010"
"10005";"КЫСЫЛ-СЫРСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)";"143-020"
"10006";"НИЖНЕ-БЕСТЯХСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)";"143-021"
"10007";"УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В Г. ВЛАДИКАВКАЗ";"150-004"
"10008";"УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В Г. ВЛАДИКАВКАЗ";"150-050"
"10009";"ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В НОВО-САВИНОВСКОМ Р-НЕ Г. КАЗАНИ";"160-007"
"10010";"ТП В ПОС. СИЛИКАТНОМ ОУФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В ИНДУСТРИАЛЬНОМ Р-НЕ Г. БАРНАУЛА";"220-074"
"10011";"ТП В ПОС. ЗАПАДНОМ ОУФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В ОКТЯБРЬСКОМ Р-НЕ Г. БАРНАУЛА";"220-075"
"10012";"ТП В ПОС. ЮЖНОМ ОУФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В ЦЕНТРАЛЬНОМ Р-НЕ Г. БАРНАУЛА";"220-076"
